content,links,title
"AICTE has approved 'AICTE – SWANATH SCHOLARSHIP SCHEME' for children from any one of the following categories:,
           1. Orphan ,
           2. Either or both parents died due to Covid-19 ,
           3. Wards of Armed Forces and Central Paramilitary Forces martyred in action (Shaheed) ,
            to provide them financial support of Rs. 50,000/- per annum for every year of study.
    ","https://www.aicte-india.org/sites/default/files/stdc/AICTE-SWANATH- SCHEME-DEGREE-DIPLOMA.pdf,https://www.aicte-india.org/sites/default/files/stdc/FAQs-Swanath Scheme.pdf",AICTE – SWANATH SCHOLARSHIP SCHEME
"AICTE Scheme for study tour of ATAL TUNNEL, Himachal Pradesh– YOUTH UNDERTAKING VISIT FOR ACQUIRING KNOWLEDGE (YUVAK)","https://www.aicte-india.org/sites/default/files/stdc/SCHEME-ATAL-TUNNEL-YUVAK_16th April 2021.pdf,https://www.aicte-india.org/sites/default/files/stdc/yuvak/APPLICATION FORM -ATAL TUNNEL-TOUR.pdf,https://www.aicte-india.org/sites/default/files/stdc/yuvak/MANDATE-FORM.pdf,https://www.aicte-india.org/sites/default/files/stdc/LIST-SELECTED-INSTITUTES-PUBLISH.pdf",AICTE - YOUTH UNDERTAKING VISIT FOR ACQUIRING KNOWLEDGE (YUVAK)
"AICTE intends to seek applications for AICTEs LILAVATI AWARD-2020 based on the theme “Women Empowerment” from the eligible teams of AICTE approved institutions, who have undertaken remarkable intervention for the cause and made an impact that showcases their work under six different sub- themes.",https://www.aicte-india.org/sites/default/files/lilavati_awards/Final_Lilavati_Award-2020.pdf,AICTE LILAVATI AWARD
"Scholarship is awarded to full time GATE/GPAT qualified students admitted to M.E./ M. Tech/ M. Arch and M.Pharma courses in AICTE approved Institutions/Colleges @Rs. 12,400/- PM/ student.",https://www.aicte-india.org/schemes/students-development-schemes/PG-Scholarship-Scheme,PG Scholarship
Admitting full time meritorious research scholars by providing research fellowship who wants to seek admission to Ph.D. in AICTE approved Technical Institutes/University Departments for carrying out research in thrust areas,https://www.aicte-india.org/schemes/students-development-schemes/ADF-Scheme,AICTE Doctoral Fellowship (ADF)
Scholarship/Contingency is awarded to meritorious girls taking admission in AICTE approved Technical institution at Degree/ Diploma. Total 10000 scholarship are given @ Rs 50000 as incidentals each year.,"https://www.aicte-india.org/schemes/students-development-schemes/Pragati/General-Instructions,https://www.aicte-india.org/schemes/students-development-schemes/batch-2019-2020-pragati,https://www.aicte-india.org/schemes/students-development-schemes/batch-2018-2019-pragati,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2017-2018,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2016-2017,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2015-2016,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2014-2015",Pragati Scholarship
Scholarship/Contingency is awarded  to  Differently  abled students taking admission in AICTE approved Technical institution at Degree/ Diploma. Scholarship given @ Rs 50000 as incidentals each year. ,"https://www.aicte-india.org/schemes/students-development-schemes/Saksham/General-Instructions,https://www.aicte-india.org/schemes/students-development-schemes/batch-2019-2020-saksham,https://www.aicte-india.org/schemes/students-development-schemes/Saksham%20batch-2018-2019,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2017-2018,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2016-2017,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2015-2016,https://www.aicte-india.org/schemes/students-development-schemes/Batch-2014-2015",Saksham Scholarship
The objective of the scheme is to provide travel assistance registration fees to a team of minimum 2 to 10 students for attending competition at international level in order to encourage engineering students to improve their field of technical education.,"https://www.aicte-india.org/sites/default/files/SSPCA_Guidelines.pdf,https://www.aicte-india.org/sites/default/files/STEPS%20TO%20APPLY%20FOR%20SSPCA_1.pdf,https://www.aicte-india.org/sites/default/files/SSPCA%20Application%20Form%202019.pdf",Support to Students for Participating in Competition Abroad (SSPCA)
"Objective of the Scheme is to build up capacities in youth of J&K, educate, enable and empowering them to compete in normal course, enhancing and boosting employment potentials in students of J&K. Total 5000 scholarship are given @ Rs. 100000/- as Maintenance Charges and academic fee as Rs. 30000/- to General Degree, Rs. 125000/- to Engineering Degree & Rs. 300000/- to Medical Degree each year.",https://www.aicte-india.org/bureaus/jk,Prime Minister’s Special Scholarship Scheme – PMSSS
An “AICTE-INAE Travel Grant Scheme” for Engineering Students to present papers abroad has been launched for enhancing the quality of engineering education in the country. ,"https://www.aicte-india.org/sites/default/files/application%20form_2.pdf,https://www.aicte-india.org/sites/default/files/INAE-TG%20Scheme%20Guidelines.pdf#overlay-context=,https://www.aicte-india.org/sites/default/files/2.%20STEPS%20TO%20APPLY%20FOR%20AICTE-INAE%20TRAVEL%20GRANT%20SCHEME.pdf,https://www.aicte-india.org/sites/default/files/sdc/AICTE-INAE TG Covid19.pdf,https://inae.in/aicte-inae-travel-grant-scheme/",AICTE-INAE TRAVEL GRANT SCHEME
"A unique initiative to identify new and disruptive digital solutions for solving the challenges faced by our country under the program of Smart India Hackathon 2017. This event was held on 1st – 2nd April 2017 for 36 hrs non-stop competition. 9544 technology students, 598 problems statements, 29 different central govt. ministries, 26 different Nodal centres & funding of Rs. 3 Lakh per team for 100 qualified teams.",,Smart India Hackathon 2019
The main objective of the scheme is to nurture an innovation ecosystem that benefits the technologically deficient MSMEs and technical institutes both. 408 Small and Medium Enterprises have given requirement of 738 Technology students.,,M.Tech Projects as Internship with Small and Medium Enterprises (MSMEs)
