amount,content,deadline,links,title
"$30,000","This scholarship will support three female, low-income high school seniors or undergraduate students majoring in STEM.,This scholarship will support three female, low-income high school seniors or undergraduate students majoring in STEM.","Mar 1, 2022",/scholarships/young-women-in-stem-scholarship/,Young Women in STEM Scholarship 
"$2,000","This scholarship seeks to honor Connie’s legacy and passion for education by supporting two female students who plan to pursue degrees in STEAM.,This scholarship seeks to honor Connie’s legacy and passion for education by supporting two female students who plan to pursue degrees in STEAM.","Feb 15, 2022",/scholarships/connie-konatsotis-scholarship/,Connie Konatsotis Scholarship
"$1,010","This scholarship aims to support women and address the many hardships women still face in the world, such as discrimination, income inequality, and abuse. To apply, write a short essay about what society needs to do to empower women.,This scholarship aims to support women and address the many hardships women still face in the world, such as discrimination, income inequality, and abuse. To apply, write a short essay about what society needs to do to empower women.","Nov 30, 2021",/scholarships/3wishes-womens-empowerment-scholarship/,3Wishes Women’s Empowerment Scholarship
"$1,000","This scholarship is perfect for anyone interested in fashion, beauty, tech, and business news, alongside advice and insight from inspirational women.,This scholarship is perfect for anyone interested in fashion, beauty, tech, and business news, alongside advice and insight from inspirational women.","Dec 1, 2021",/scholarships/newsette-no-essay-scholarship/,Newsette No-Essay Leadership Scholarship for Women
"$1,000","This scholarship seeks to empower girls and encourage them to continue breaking barriers in wrestling and in society in general.,This scholarship seeks to empower girls and encourage them to continue breaking barriers in wrestling and in society in general.","Nov 15, 2021",/scholarships/elevate-girls-wrestling-scholarship/,Elevate Girl's Wrestling Scholarship
"$1,000","This scholarship seeks to help one female student who is an aspiring writer or journalist pursue her education and make a difference in the world.,This scholarship seeks to help one female student who is an aspiring writer or journalist pursue her education and make a difference in the world.","Jan 18, 2022",/scholarships/vanessa-muza-teskey-memorial-scholarship/,Vanessa Muza Teskey Memorial Scholarship
"$1,000","This scholarship will support one woman inmath who has large ambitions for her career and the impact she can have in the world of math and tech.,This scholarship will support one woman inmath who has large ambitions for her career and the impact she can have in the world of math and tech.","Aug 1, 2022",/scholarships/learner-education-women-in-mathematics-scholarship/,Learner Education Women in Mathematics Scholarship
$500,"The ""Fight for Equality"" Women in STEM Scholarship is meant to support and encourage young women to pursue a degree in STEM. This $500 award will help female high school students pay their college tuition.,The ""Fight for Equality"" Women in STEM Scholarship is meant to support and encourage young women to pursue a degree in STEM. This $500 award will help female high school students pay their college tuition.","Apr 16, 2022",/scholarships/wisegeek-women-in-stem-no-essay-scholarship/,"""Fight for Equality"" Women in STEM Scholarship"
"$1,000","This scholarship seeks to ensure that students who want to become teachers have the necessary funding to do so by supporting female-identifying students who are studying education,This scholarship seeks to ensure that students who want to become teachers have the necessary funding to do so by supporting female-identifying students who are studying education","Apr 30, 2022",/scholarships/future-female-educators-scholarship/,Future Female Educators Scholarship
$500,"The Elevate Women in Technology Scholarship exists to move the tech industry in the right direction by empowering the next generation of extraordinary women leaders.,The Elevate Women in Technology Scholarship exists to move the tech industry in the right direction by empowering the next generation of extraordinary women leaders.","Apr 30, 2022",/scholarships/elevate-women-in-technology-scholarship/,Elevate Women in Technology Scholarship
$500,"This scholarship aims to support students who are passionate about caring for the environment and wildlife so that our endangered species and climate can be protected for future generations.,This scholarship aims to support students who are passionate about caring for the environment and wildlife so that our endangered species and climate can be protected for future generations.","Dec 15, 2021",/scholarships/hispanic-women-in-wildlife-conservation-scholarship/,Hispanic Women in Wildlife Conservation Scholarship
$500,"This scholarship will support one woman between the ages of 18 and 30 on their educational journey.,This scholarship will support one woman between the ages of 18 and 30 on their educational journey.","Apr 2, 2022",/scholarships/lillians-and-rubys-way-scholarship/,Lillian's & Ruby's Way Scholarship
